Person ID,Age,Gender,Undergraduate Major,Undergraduate GPA,Years of Work Experience,Current Job Title,Annual Salary (Before MBA),Has Management Experience,GRE/GMAT Score,Undergrad University Ranking,MBA Funding Source,Desired Post-MBA Role,Expected Post-MBA Salary,Location Preference (Post-MBA),Reason for MBA,Online vs. On-Campus MBA,Decided to Pursue MBA?,Salary Difference,Percent of Life Worked
26,26,Female,Arts,3.75,2,Manager,95581,No,710,195,Scholarship,Startup Founder,87905,Domestic,Entrepreneurship,Online,No,-7676,0.076923077
27,22,Male,Business,2.08,3,Engineer,54538,No,313,4,Loan,Marketing Director,122034,International,Entrepreneurship,On-Campus,No,67496,0.136363636
28,32,Male,Arts,3.96,9,Entrepreneur,64723,No,614,417,Employer,Marketing Director,85873,International,Skill Enhancement,Online,Yes,21150,0.28125
29,25,Male,Engineering,3.99,9,Engineer,32274,No,729,434,Employer,Marketing Director,144660,Domestic,Entrepreneurship,On-Campus,No,112386,0.36
30,21,Female,Engineering,3.2,9,Engineer,37735,No,666,133,Self-funded,Executive,96946,Domestic,Career Growth,On-Campus,No,59211,0.428571429
31,32,Female,Arts,2.66,6,Analyst,31739,No,793,381,Employer,Marketing Director,154959,Domestic,Skill Enhancement,Online,No,123220,0.1875
32,30,Male,Engineering,2.45,7,Analyst,117586,No,750,221,Self-funded,Executive,119391,International,Skill Enhancement,Online,Yes,1805,0.233333333
33,26,Female,Science,2.55,8,Engineer,110849,Yes,693,308,Self-funded,Executive,177546,Domestic,Networking,On-Campus,No,66697,0.307692308
34,33,Female,Engineering,2.1,1,Entrepreneur,43549,No,636,11,Scholarship,Finance Manager,140714,International,Skill Enhancement,Online,Yes,97165,0.03030303
35,32,Female,Arts,2.95,3,Engineer,108948,No,256,131,Self-funded,Marketing Director,163083,Domestic,Networking,On-Campus,Yes,54135,0.09375
36,29,Female,Science,2.11,0,Manager,61510,No,438,274,Scholarship,Executive,114106,Domestic,Networking,On-Campus,Yes,52596,0
37,21,Female,Business,3.44,2,Consultant,112253,Yes,503,286,Employer,Executive,196140,Domestic,Entrepreneurship,On-Campus,Yes,83887,0.095238095
38,31,Male,Business,2.74,7,Engineer,97066,No,769,465,Loan,Executive,120725,International,Skill Enhancement,Online,Yes,23659,0.225806452
39,31,Male,Business,2.4,6,Analyst,30555,Yes,760,174,Loan,Marketing Director,166030,International,Skill Enhancement,On-Campus,Yes,135475,0.193548387
40,30,Male,Arts,3.09,7,Entrepreneur,56624,No,471,222,Scholarship,Startup Founder,136291,Domestic,Entrepreneurship,Online,No,79667,0.233333333
41,32,Female,Business,3.95,5,Analyst,50417,No,696,94,Self-funded,Marketing Director,183695,International,Entrepreneurship,On-Campus,No,133278,0.15625
42,32,Female,Engineering,3.39,4,Manager,113083,No,665,481,Scholarship,Marketing Director,128025,International,Career Growth,On-Campus,No,14942,0.125
43,34,Female,Business,2.98,9,Analyst,101564,No,477,145,Scholarship,Startup Founder,72613,Domestic,Networking,On-Campus,Yes,-28951,0.264705882
44,34,Other,Economics,3.55,8,Analyst,75978,Yes,530,167,Employer,Marketing Director,188208,Domestic,Entrepreneurship,On-Campus,Yes,112230,0.235294118
45,34,Male,Economics,3.47,4,Entrepreneur,62498,Yes,787,80,Scholarship,Finance Manager,152764,International,Networking,On-Campus,No,90266,0.117647059
46,23,Female,Business,3.78,8,Entrepreneur,81172,No,257,289,Loan,Finance Manager,78468,International,Skill Enhancement,Online,Yes,-2704,0.347826087
47,32,Female,Business,2.41,3,Analyst,70453,No,446,367,Employer,Marketing Director,98133,Domestic,Networking,Online,Yes,27680,0.09375
48,27,Other,Economics,3.72,4,Analyst,36023,No,396,450,Employer,Finance Manager,134882,Domestic,Networking,Online,No,98859,0.148148148
49,24,Other,Business,2.6,0,Engineer,119364,Yes,736,66,Self-funded,Executive,89770,International,Skill Enhancement,Online,No,-29594,0
50,29,Female,Science,3.88,5,Manager,81092,No,447,472,Employer,Consultant,136348,International,Career Growth,Online,No,55256,0.172413793
51,23,Male,Economics,2.56,2,Engineer,83548,Yes,496,133,Loan,Marketing Director,168859,Domestic,Entrepreneurship,Online,No,85311,0.086956522
52,25,Female,Arts,3.85,9,Entrepreneur,92533,Yes,436,164,Self-funded,Startup Founder,123415,International,Networking,On-Campus,Yes,30882,0.36
53,23,Male,Economics,3.93,1,Engineer,37016,No,382,259,Loan,Executive,97109,International,Career Growth,On-Campus,No,60093,0.043478261
54,27,Female,Engineering,2.29,5,Engineer,88554,No,408,360,Scholarship,Startup Founder,80499,Domestic,Entrepreneurship,Online,No,-8055,0.185185185
55,25,Female,Science,3.95,0,Analyst,83405,Yes,646,160,Self-funded,Startup Founder,192401,International,Career Growth,Online,Yes,108996,0
56,29,Male,Arts,2.17,8,Analyst,39546,Yes,367,142,Employer,Consultant,128880,Domestic,Career Growth,Online,Yes,89334,0.275862069
57,27,Female,Business,2.44,4,Manager,68793,No,634,378,Employer,Finance Manager,67776,Domestic,Networking,Online,No,-1017,0.148148148
58,22,Male,Engineering,2.89,6,Consultant,70344,Yes,381,422,Loan,Startup Founder,65814,International,Career Growth,Online,Yes,-4530,0.272727273
59,24,Male,Engineering,3.99,9,Consultant,102143,Yes,623,247,Loan,Marketing Director,192258,International,Career Growth,Online,No,90115,0.375
60,29,Male,Science,2.98,8,Engineer,56706,No,653,491,Self-funded,Marketing Director,107755,International,Skill Enhancement,Online,Yes,51049,0.275862069
61,32,Female,Arts,3.1,8,Manager,70521,Yes,598,133,Loan,Executive,110849,International,Networking,Online,Yes,40328,0.25
62,34,Female,Engineering,3.39,6,Manager,53406,No,281,485,Scholarship,Executive,133094,Domestic,Networking,Online,No,79688,0.176470588
63,22,Female,Arts,3.94,3,Entrepreneur,66035,No,346,174,Loan,Startup Founder,137232,Domestic,Entrepreneurship,On-Campus,Yes,71197,0.136363636
64,30,Male,Arts,3.57,3,Analyst,44542,Yes,588,474,Employer,Consultant,188759,Domestic,Entrepreneurship,On-Campus,No,144217,0.1
65,29,Female,Engineering,2.45,6,Entrepreneur,100790,No,636,184,Scholarship,Finance Manager,89214,Domestic,Skill Enhancement,Online,Yes,-11576,0.206896552
66,30,Female,Arts,2.61,7,Consultant,99739,Yes,434,465,Self-funded,Consultant,124906,International,Networking,Online,No,25167,0.233333333
67,25,Male,Science,2.2,6,Manager,68658,Yes,433,316,Self-funded,Consultant,121106,International,Skill Enhancement,Online,Yes,52448,0.24
68,22,Male,Engineering,3.29,9,Consultant,42452,No,300,83,Scholarship,Executive,73063,Domestic,Networking,Online,No,30611,0.409090909
69,24,Male,Science,2.36,3,Analyst,52681,No,251,75,Employer,Finance Manager,60638,International,Skill Enhancement,Online,No,7957,0.125
70,32,Female,Science,2.51,3,Analyst,50826,No,326,263,Self-funded,Startup Founder,72292,International,Skill Enhancement,Online,No,21466,0.09375
71,32,Female,Arts,3.78,7,Analyst,47432,Yes,728,397,Self-funded,Consultant,125581,Domestic,Networking,On-Campus,Yes,78149,0.21875
72,27,Female,Arts,2.65,8,Consultant,48343,No,711,115,Loan,Startup Founder,106510,International,Skill Enhancement,Online,Yes,58167,0.296296296
73,32,Male,Engineering,3.13,6,Manager,82850,No,648,153,Employer,Executive,101864,Domestic,Entrepreneurship,On-Campus,Yes,19014,0.1875
74,33,Female,Business,2.8,2,Entrepreneur,84827,No,288,498,Loan,Startup Founder,108454,International,Skill Enhancement,On-Campus,Yes,23627,0.060606061
75,28,Male,Engineering,2.15,9,Manager,70659,No,795,112,Scholarship,Marketing Director,185373,International,Career Growth,Online,No,114714,0.321428571
76,23,Male,Science,2.73,0,Manager,94237,No,500,140,Employer,Finance Manager,104198,Domestic,Career Growth,On-Campus,Yes,9961,0
77,34,Female,Arts,2.82,4,Engineer,77841,No,315,31,Self-funded,Consultant,65161,International,Career Growth,Online,No,-12680,0.117647059
78,21,Male,Science,3.79,5,Manager,72201,No,678,220,Loan,Executive,133405,Domestic,Career Growth,Online,Yes,61204,0.238095238
79,24,Female,Economics,2.65,8,Entrepreneur,50314,No,602,271,Scholarship,Startup Founder,151555,Domestic,Networking,Online,No,101241,0.333333333
80,22,Male,Economics,2.76,4,Engineer,84517,No,632,97,Employer,Executive,111746,International,Skill Enhancement,On-Campus,No,27229,0.181818182
81,28,Female,Science,3.57,0,Manager,77416,No,276,11,Self-funded,Marketing Director,176129,Domestic,Entrepreneurship,Online,No,98713,0
82,24,Male,Business,3.52,3,Engineer,104603,Yes,316,103,Loan,Executive,151288,International,Skill Enhancement,Online,Yes,46685,0.125
83,22,Female,Business,3.6,1,Manager,41912,No,749,416,Scholarship,Finance Manager,147654,International,Networking,Online,Yes,105742,0.045454545
84,34,Male,Engineering,3.91,3,Analyst,109637,No,661,464,Self-funded,Finance Manager,142419,International,Entrepreneurship,On-Campus,Yes,32782,0.088235294
85,26,Male,Engineering,3.59,6,Analyst,85755,Yes,619,265,Employer,Finance Manager,162146,International,Entrepreneurship,Online,Yes,76391,0.230769231
86,26,Female,Engineering,2.82,8,Manager,45941,Yes,685,52,Scholarship,Marketing Director,190372,Domestic,Career Growth,Online,Yes,144431,0.307692308
87,30,Male,Arts,3.64,2,Engineer,84938,Yes,310,169,Self-funded,Finance Manager,106980,Domestic,Career Growth,Online,Yes,22042,0.066666667
88,24,Female,Business,3.02,2,Entrepreneur,44591,No,299,140,Scholarship,Marketing Director,89201,Domestic,Networking,Online,Yes,44610,0.083333333
89,26,Other,Science,2.56,3,Analyst,58281,No,774,83,Loan,Consultant,122117,Domestic,Networking,Online,Yes,63836,0.115384615
90,33,Male,Economics,2.61,6,Engineer,41730,Yes,445,462,Scholarship,Marketing Director,171803,Domestic,Entrepreneurship,Online,Yes,130073,0.181818182
91,22,Male,Business,2.45,5,Entrepreneur,39011,Yes,619,268,Self-funded,Startup Founder,157273,Domestic,Entrepreneurship,On-Campus,Yes,118262,0.227272727
92,30,Female,Business,2.29,4,Engineer,66677,No,524,448,Self-funded,Finance Manager,71983,International,Skill Enhancement,On-Campus,Yes,5306,0.133333333
93,32,Other,Business,2.37,3,Manager,92969,No,465,344,Employer,Executive,176575,Domestic,Skill Enhancement,Online,No,83606,0.09375
94,22,Female,Engineering,2.13,7,Analyst,74976,Yes,541,73,Employer,Marketing Director,146540,International,Networking,On-Campus,Yes,71564,0.318181818
95,30,Female,Arts,3.78,3,Analyst,97420,No,575,469,Employer,Consultant,174242,Domestic,Networking,On-Campus,No,76822,0.1
96,34,Female,Science,3.86,2,Analyst,100038,No,774,140,Scholarship,Startup Founder,124413,International,Career Growth,On-Campus,No,24375,0.058823529
97,24,Male,Engineering,3.17,6,Manager,58564,No,785,109,Loan,Consultant,91714,Domestic,Skill Enhancement,On-Campus,No,33150,0.25
98,34,Other,Arts,3.68,1,Entrepreneur,37497,No,423,37,Employer,Consultant,123172,Domestic,Skill Enhancement,Online,No,85675,0.029411765
99,28,Other,Business,2.37,3,Entrepreneur,38298,Yes,679,133,Self-funded,Startup Founder,125586,Domestic,Career Growth,Online,No,87288,0.107142857
100,34,Male,Arts,3.8,7,Analyst,40887,No,284,9,Scholarship,Finance Manager,65290,Domestic,Career Growth,On-Campus,No,24403,0.205882353
101,27,Male,Engineering,3.01,3,Entrepreneur,40677,No,413,185,Scholarship,Executive,135378,International,Networking,Online,No,94701,0.111111111
102,32,Male,Business,2.13,9,Analyst,59362,No,643,243,Scholarship,Startup Founder,198441,International,Networking,On-Campus,Yes,139079,0.28125
103,29,Male,Engineering,2.28,6,Entrepreneur,50413,Yes,517,148,Loan,Finance Manager,89204,Domestic,Career Growth,On-Campus,Yes,38791,0.206896552
104,34,Female,Science,2.62,1,Analyst,64193,No,574,70,Employer,Finance Manager,60801,International,Networking,Online,Yes,-3392,0.029411765
105,28,Male,Business,2.09,4,Entrepreneur,100141,No,653,232,Scholarship,Marketing Director,151636,International,Skill Enhancement,Online,Yes,51495,0.142857143
106,25,Male,Arts,2.62,3,Engineer,110563,No,286,370,Scholarship,Finance Manager,116400,International,Skill Enhancement,On-Campus,Yes,5837,0.12
107,33,Male,Engineering,2.12,8,Analyst,50440,No,745,382,Loan,Startup Founder,185944,International,Entrepreneurship,On-Campus,No,135504,0.242424242
108,22,Other,Economics,2.47,6,Analyst,95776,Yes,779,397,Scholarship,Finance Manager,146529,International,Career Growth,Online,No,50753,0.272727273
109,25,Female,Arts,2.53,8,Consultant,47880,Yes,360,336,Self-funded,Marketing Director,97372,Domestic,Entrepreneurship,On-Campus,No,49492,0.32
110,28,Male,Arts,3.99,9,Analyst,76365,Yes,737,468,Scholarship,Marketing Director,164217,International,Networking,Online,Yes,87852,0.321428571
111,30,Male,Business,2.47,6,Entrepreneur,89850,No,474,133,Scholarship,Executive,121771,International,Networking,On-Campus,Yes,31921,0.2
112,29,Other,Arts,2.48,1,Engineer,59466,No,546,118,Self-funded,Startup Founder,130581,International,Skill Enhancement,On-Campus,Yes,71115,0.034482759
113,32,Female,Engineering,3.37,1,Engineer,41164,Yes,446,171,Scholarship,Startup Founder,137215,International,Skill Enhancement,Online,Yes,96051,0.03125
114,32,Male,Economics,3.72,1,Entrepreneur,58595,No,578,337,Scholarship,Executive,63558,International,Career Growth,Online,No,4963,0.03125
115,32,Male,Science,2.77,4,Manager,81913,No,346,182,Self-funded,Startup Founder,153036,Domestic,Career Growth,On-Campus,Yes,71123,0.125
116,33,Male,Economics,3.75,0,Analyst,63373,No,697,318,Scholarship,Consultant,72276,International,Entrepreneurship,Online,Yes,8903,0
117,29,Male,Engineering,2.68,6,Engineer,61178,No,407,266,Self-funded,Marketing Director,74306,Domestic,Networking,On-Campus,Yes,13128,0.206896552
118,33,Female,Business,2.39,1,Entrepreneur,31038,No,743,158,Scholarship,Consultant,144884,International,Networking,On-Campus,Yes,113846,0.03030303
119,33,Female,Engineering,2.66,3,Engineer,63174,Yes,266,263,Self-funded,Finance Manager,102876,Domestic,Networking,Online,Yes,39702,0.090909091
120,21,Male,Arts,3.22,8,Engineer,96607,Yes,796,185,Employer,Executive,171362,Domestic,Career Growth,Online,Yes,74755,0.380952381
121,29,Female,Business,2.73,7,Entrepreneur,119750,Yes,585,139,Self-funded,Consultant,151324,Domestic,Skill Enhancement,Online,No,31574,0.24137931
122,27,Male,Science,3.35,9,Consultant,83361,No,673,200,Scholarship,Finance Manager,71494,International,Career Growth,Online,No,-11867,0.333333333
123,29,Female,Science,2.47,1,Engineer,51005,No,652,307,Loan,Startup Founder,86631,Domestic,Entrepreneurship,Online,No,35626,0.034482759
124,28,Female,Engineering,3.4,3,Engineer,118008,Yes,680,64,Employer,Startup Founder,153772,International,Networking,On-Campus,Yes,35764,0.107142857
125,21,Male,Arts,2.69,3,Manager,75877,Yes,742,229,Self-funded,Finance Manager,84153,Domestic,Skill Enhancement,On-Campus,Yes,8276,0.142857143
126,32,Male,Science,2.91,1,Consultant,50827,Yes,693,31,Self-funded,Finance Manager,163848,International,Entrepreneurship,On-Campus,No,113021,0.03125
127,28,Female,Economics,3.12,1,Manager,92405,Yes,260,112,Self-funded,Finance Manager,73133,Domestic,Networking,Online,Yes,-19272,0.035714286
128,28,Male,Business,3.37,4,Entrepreneur,77274,No,788,1,Scholarship,Finance Manager,67948,International,Entrepreneurship,On-Campus,No,-9326,0.142857143
129,31,Male,Economics,2.48,3,Analyst,80604,No,519,89,Scholarship,Finance Manager,182300,Domestic,Networking,Online,Yes,101696,0.096774194
130,23,Female,Science,3.67,7,Entrepreneur,114373,Yes,375,442,Scholarship,Executive,74139,Domestic,Career Growth,Online,Yes,-40234,0.304347826
131,21,Other,Science,3.44,3,Consultant,98523,Yes,371,348,Self-funded,Finance Manager,96349,International,Skill Enhancement,Online,Yes,-2174,0.142857143
132,28,Male,Engineering,2.47,7,Entrepreneur,49173,No,601,215,Loan,Startup Founder,163129,Domestic,Networking,On-Campus,Yes,113956,0.25
133,23,Female,Engineering,3.95,4,Consultant,30200,Yes,617,307,Employer,Startup Founder,176036,Domestic,Entrepreneurship,Online,Yes,145836,0.173913043
134,23,Male,Business,3.33,0,Manager,70593,No,641,349,Scholarship,Executive,72135,Domestic,Skill Enhancement,Online,No,1542,0
135,21,Female,Engineering,2.9,8,Engineer,52584,Yes,324,406,Employer,Finance Manager,129018,International,Skill Enhancement,Online,Yes,76434,0.380952381
136,31,Female,Arts,2.32,7,Entrepreneur,109956,No,699,202,Loan,Marketing Director,171559,International,Career Growth,On-Campus,No,61603,0.225806452
137,25,Female,Business,3.07,0,Entrepreneur,88126,No,254,46,Scholarship,Startup Founder,62790,Domestic,Career Growth,On-Campus,Yes,-25336,0
138,30,Male,Arts,2.33,2,Engineer,35225,Yes,407,401,Self-funded,Finance Manager,70454,International,Entrepreneurship,Online,Yes,35229,0.066666667
139,27,Female,Engineering,2.86,2,Entrepreneur,100457,Yes,485,269,Scholarship,Marketing Director,135081,International,Career Growth,Online,Yes,34624,0.074074074
140,30,Female,Business,2.82,4,Entrepreneur,66481,No,738,336,Self-funded,Marketing Director,61293,Domestic,Skill Enhancement,On-Campus,No,-5188,0.133333333
141,29,Male,Science,3.44,6,Analyst,52036,No,452,379,Loan,Consultant,61345,Domestic,Career Growth,On-Campus,No,9309,0.206896552
142,32,Male,Economics,2.38,0,Analyst,39130,No,611,371,Scholarship,Marketing Director,120541,Domestic,Entrepreneurship,On-Campus,Yes,81411,0
143,27,Male,Science,3.64,0,Engineer,65884,No,580,76,Employer,Marketing Director,75016,Domestic,Entrepreneurship,Online,No,9132,0
144,29,Male,Arts,2.65,9,Manager,56996,No,570,240,Employer,Startup Founder,88830,International,Skill Enhancement,On-Campus,Yes,31834,0.310344828
145,28,Female,Science,2.89,5,Entrepreneur,84342,Yes,506,113,Scholarship,Marketing Director,174922,International,Networking,Online,Yes,90580,0.178571429
146,32,Male,Science,3.54,4,Entrepreneur,71723,Yes,625,207,Scholarship,Marketing Director,182931,International,Networking,On-Campus,Yes,111208,0.125
147,22,Male,Economics,3.25,2,Manager,67387,Yes,424,295,Scholarship,Startup Founder,118026,International,Career Growth,Online,No,50639,0.090909091
148,21,Female,Economics,2.62,2,Entrepreneur,89142,Yes,578,275,Employer,Consultant,197236,International,Career Growth,Online,No,108094,0.095238095
149,27,Male,Science,2.77,3,Manager,100724,No,532,213,Employer,Consultant,108925,Domestic,Networking,On-Campus,No,8201,0.111111111
150,27,Female,Economics,2.61,9,Engineer,92574,Yes,543,317,Self-funded,Finance Manager,196746,International,Networking,Online,Yes,104172,0.333333333
151,34,Male,Science,3.19,1,Engineer,67734,Yes,652,96,Employer,Finance Manager,113436,Domestic,Skill Enhancement,Online,No,45702,0.029411765
152,28,Other,Business,2.67,8,Manager,104997,Yes,449,389,Loan,Marketing Director,77151,International,Career Growth,On-Campus,No,-27846,0.285714286
153,25,Female,Science,3.45,3,Manager,46342,Yes,282,57,Employer,Marketing Director,107648,International,Entrepreneurship,Online,No,61306,0.12
154,23,Female,Engineering,3.16,9,Consultant,53924,Yes,757,47,Scholarship,Finance Manager,64740,International,Skill Enhancement,Online,Yes,10816,0.391304348
155,32,Male,Economics,2.29,2,Analyst,116113,Yes,390,335,Employer,Finance Manager,101016,Domestic,Career Growth,Online,Yes,-15097,0.0625
156,28,Female,Economics,2.62,9,Analyst,73800,No,292,160,Employer,Marketing Director,164484,International,Skill Enhancement,Online,Yes,90684,0.321428571
157,26,Male,Arts,2.44,6,Entrepreneur,51825,No,667,1,Employer,Startup Founder,147125,International,Skill Enhancement,On-Campus,Yes,95300,0.230769231
158,31,Male,Arts,2.78,8,Entrepreneur,110690,No,525,207,Loan,Startup Founder,122951,International,Career Growth,Online,No,12261,0.258064516
159,23,Male,Engineering,3.03,1,Manager,71633,No,331,35,Loan,Startup Founder,60740,International,Skill Enhancement,Online,Yes,-10893,0.043478261
160,21,Female,Economics,3.01,5,Manager,67372,No,462,212,Loan,Finance Manager,145800,International,Networking,On-Campus,Yes,78428,0.238095238
161,23,Male,Economics,3.51,4,Analyst,71901,Yes,446,159,Loan,Consultant,174757,Domestic,Networking,On-Campus,Yes,102856,0.173913043
162,25,Female,Arts,2.38,0,Entrepreneur,47326,No,294,404,Employer,Finance Manager,164667,Domestic,Career Growth,Online,No,117341,0
163,34,Male,Arts,3.89,6,Analyst,99279,No,779,303,Scholarship,Startup Founder,112111,International,Entrepreneurship,Online,Yes,12832,0.176470588
164,23,Male,Science,2.69,0,Engineer,101819,Yes,552,24,Scholarship,Executive,67340,Domestic,Entrepreneurship,On-Campus,No,-34479,0
165,21,Female,Economics,2.6,9,Analyst,66604,No,762,40,Scholarship,Startup Founder,110440,International,Career Growth,Online,No,43836,0.428571429
166,25,Male,Economics,3.37,8,Analyst,110274,Yes,577,330,Scholarship,Executive,95298,International,Networking,On-Campus,Yes,-14976,0.32
167,30,Female,Science,3.61,3,Manager,39381,Yes,286,334,Employer,Startup Founder,90642,Domestic,Skill Enhancement,Online,Yes,51261,0.1
168,27,Male,Economics,2.76,7,Entrepreneur,75816,Yes,269,249,Loan,Startup Founder,138234,Domestic,Entrepreneurship,Online,Yes,62418,0.259259259
169,34,Female,Engineering,3.49,0,Engineer,73913,No,600,483,Employer,Executive,68431,Domestic,Career Growth,On-Campus,No,-5482,0
170,27,Female,Arts,3.77,4,Analyst,40505,No,435,382,Loan,Startup Founder,77343,Domestic,Networking,On-Campus,Yes,36838,0.148148148
171,31,Male,Arts,3.53,2,Analyst,92818,Yes,290,192,Self-funded,Executive,185100,International,Entrepreneurship,Online,No,92282,0.064516129
172,29,Male,Arts,2.07,3,Manager,45414,No,549,93,Self-funded,Executive,115825,Domestic,Skill Enhancement,On-Campus,Yes,70411,0.103448276
173,30,Female,Business,3.65,3,Consultant,102927,Yes,626,201,Employer,Finance Manager,162981,Domestic,Networking,On-Campus,Yes,60054,0.1
174,30,Female,Engineering,3.55,7,Entrepreneur,54311,Yes,484,120,Loan,Consultant,194874,Domestic,Career Growth,On-Campus,Yes,140563,0.233333333
175,32,Male,Engineering,3.34,9,Entrepreneur,64677,Yes,668,244,Self-funded,Finance Manager,180081,International,Networking,Online,No,115404,0.28125
176,33,Male,Science,3.52,9,Entrepreneur,89590,No,330,138,Loan,Consultant,122538,International,Career Growth,On-Campus,No,32948,0.272727273
177,23,Female,Business,3.96,2,Analyst,65442,No,276,256,Self-funded,Consultant,132513,Domestic,Entrepreneurship,On-Campus,No,67071,0.086956522
178,27,Female,Economics,2.86,0,Analyst,33324,Yes,270,117,Self-funded,Startup Founder,179377,International,Networking,On-Campus,Yes,146053,0
179,21,Male,Engineering,2.13,4,Analyst,117753,No,545,445,Self-funded,Executive,179566,Domestic,Entrepreneurship,On-Campus,No,61813,0.19047619
180,24,Male,Business,2.92,1,Consultant,98138,No,421,2,Self-funded,Consultant,140629,International,Career Growth,On-Campus,Yes,42491,0.041666667
181,33,Male,Business,2.09,5,Analyst,117717,Yes,629,279,Loan,Consultant,62702,International,Networking,On-Campus,No,-55015,0.151515152
182,24,Female,Engineering,2.59,3,Entrepreneur,95690,No,398,338,Self-funded,Consultant,141769,International,Skill Enhancement,Online,Yes,46079,0.125
183,34,Male,Science,3.17,8,Entrepreneur,57423,No,769,193,Loan,Executive,96189,Domestic,Networking,Online,Yes,38766,0.235294118
184,25,Other,Business,2.62,6,Manager,93151,No,414,442,Self-funded,Marketing Director,130089,International,Career Growth,On-Campus,No,36938,0.24
185,27,Male,Arts,3.37,1,Consultant,42057,No,667,395,Self-funded,Consultant,167891,Domestic,Entrepreneurship,Online,Yes,125834,0.037037037
186,27,Male,Business,3.64,6,Engineer,91397,No,622,357,Self-funded,Executive,173019,Domestic,Entrepreneurship,Online,No,81622,0.222222222
187,33,Female,Economics,2.84,9,Analyst,74601,Yes,357,381,Loan,Executive,65125,Domestic,Skill Enhancement,On-Campus,No,-9476,0.272727273
