Person ID,Age,Gender,Undergraduate Major,Undergraduate GPA,Years of Work Experience,Current Job Title,Annual Salary (Before MBA),Has Management Experience,GRE/GMAT Score,Undergrad University Ranking,MBA Funding Source,Desired Post-MBA Role,Expected Post-MBA Salary,Location Preference (Post-MBA),Reason for MBA,Online vs. On-Campus MBA,Decided to Pursue MBA?,Salary Difference,Percent of Life Worked
93,34,Other,Business,2.31,3,Manager,79925.35,No,443,347,Employer,Executive,205988.73,Domestic,Skill Enhancement,Online,No,126063.38,0.088235
94,22,Female,Engineering,2.28,6,Analyst,85202.27,Yes,559,71,Employer,Marketing Director,165380.0,International,Networking,On-Campus,Yes,80177.73,0.272727
95,32,Female,Arts,4.0,3,Analyst,76012.52,No,623,382,Employer,Consultant,144762.27,Domestic,Networking,On-Campus,No,68749.74999999999,0.09375
96,33,Female,Science,3.77,2,Analyst,110311.06,No,800,150,Scholarship,Startup Founder,133656.69,International,Career Growth,On-Campus,No,23345.630000000005,0.060606
97,24,Male,Engineering,3.23,5,Manager,55019.12,No,800,129,Loan,Consultant,75580.39,Domestic,Skill Enhancement,On-Campus,No,20561.269999999997,0.208333
98,33,Other,Arts,3.84,1,Entrepreneur,28902.61,No,384,35,Employer,Consultant,145925.32,Domestic,Skill Enhancement,Online,No,117022.71,0.030303
99,24,Other,Business,2.25,3,Entrepreneur,45066.59,Yes,729,128,Self-funded,Startup Founder,98330.69,Domestic,Career Growth,Online,No,53264.100000000006,0.125
100,30,Male,Arts,3.55,5,Analyst,40635.99,No,292,7,Scholarship,Finance Manager,81189.64,Domestic,Career Growth,On-Campus,No,40553.65,0.166667
101,23,Male,Engineering,3.29,3,Entrepreneur,42697.0,No,397,213,Scholarship,Executive,128651.52,International,Networking,Online,No,85954.52,0.130435
102,33,Male,Business,2.18,6,Analyst,66248.9,No,602,284,Scholarship,Startup Founder,165760.68,International,Networking,On-Campus,Yes,99511.78,0.181818
103,27,Male,Engineering,2.5,5,Entrepreneur,54321.88,Yes,477,166,Loan,Finance Manager,108635.98,Domestic,Career Growth,On-Campus,Yes,54314.1,0.185185
104,34,Female,Science,2.53,0,Analyst,71602.7,No,522,58,Employer,Finance Manager,46981.72,International,Networking,Online,Yes,-24620.979999999996,0.0
105,31,Male,Business,2.17,4,Entrepreneur,113273.58,No,686,269,Scholarship,Marketing Director,149369.47,International,Skill Enhancement,Online,Yes,36095.89,0.129032
106,23,Male,Arts,2.47,2,Engineer,115491.43,No,270,299,Scholarship,Finance Manager,132127.22,International,Skill Enhancement,On-Campus,Yes,16635.790000000008,0.086957
107,32,Male,Engineering,2.02,9,Analyst,47051.39,No,674,373,Loan,Startup Founder,168906.93,International,Entrepreneurship,On-Campus,No,121855.54,0.28125
108,23,Other,Economics,2.48,7,Analyst,83475.59,Yes,762,397,Scholarship,Finance Manager,148641.56,International,Career Growth,Online,No,65165.97,0.304348
109,22,Female,Arts,2.44,8,Consultant,57525.5,Yes,358,380,Self-funded,Marketing Director,107129.31,Domestic,Entrepreneurship,On-Campus,No,49603.81,0.363636
110,24,Male,Arts,3.72,8,Analyst,94307.91,Yes,688,514,Scholarship,Marketing Director,201328.11,International,Networking,Online,Yes,107020.19999999998,0.333333
111,28,Male,Business,2.35,7,Entrepreneur,83455.5,No,430,148,Scholarship,Executive,97581.35,International,Networking,On-Campus,Yes,14125.850000000006,0.25
112,26,Other,Arts,2.25,1,Engineer,47938.83,No,512,135,Self-funded,Startup Founder,108201.16,International,Skill Enhancement,On-Campus,Yes,60262.33,0.038462
113,36,Female,Engineering,3.51,1,Engineer,35453.26,Yes,461,169,Scholarship,Startup Founder,137823.61,International,Skill Enhancement,Online,Yes,102370.34999999998,0.027778
114,34,Male,Economics,3.71,1,Entrepreneur,63595.13,No,529,374,Scholarship,Executive,60967.22,International,Career Growth,Online,No,-2627.909999999996,0.029412
115,33,Male,Science,2.55,4,Manager,68517.5,No,349,150,Self-funded,Startup Founder,146210.3,Domestic,Career Growth,On-Campus,Yes,77692.79999999999,0.121212
116,36,Male,Economics,3.5,0,Analyst,72249.09,No,647,310,Scholarship,Consultant,64938.59,International,Entrepreneurship,Online,Yes,-7310.5,0.0
117,31,Male,Engineering,2.47,5,Engineer,74118.07,No,382,216,Self-funded,Marketing Director,76560.62,Domestic,Networking,On-Campus,Yes,2442.5499999999884,0.16129
118,29,Female,Business,2.44,0,Entrepreneur,38233.41,No,727,184,Scholarship,Consultant,172650.17,International,Networking,On-Campus,Yes,134416.76,0.0
119,36,Female,Engineering,2.44,2,Engineer,47675.06,Yes,260,311,Self-funded,Finance Manager,85434.63,Domestic,Networking,Online,Yes,37759.57000000001,0.055556
120,22,Male,Arts,3.38,7,Engineer,118737.45,Yes,743,154,Employer,Executive,146967.45,Domestic,Career Growth,Online,Yes,28230.000000000015,0.318182
121,31,Female,Business,2.47,7,Entrepreneur,134131.64,Yes,567,140,Self-funded,Consultant,164248.85,Domestic,Skill Enhancement,Online,No,30117.209999999992,0.225806
122,30,Male,Science,3.18,11,Consultant,66024.01,No,650,186,Scholarship,Finance Manager,55629.4,International,Career Growth,Online,No,-10394.609999999993,0.366667
123,27,Female,Science,2.66,1,Engineer,48843.42,No,684,287,Loan,Startup Founder,94157.68,Domestic,Entrepreneurship,Online,No,45314.259999999995,0.037037
124,24,Female,Engineering,3.55,3,Engineer,129811.48,Yes,622,62,Employer,Startup Founder,139506.28,International,Networking,On-Campus,Yes,9694.800000000003,0.125
125,22,Male,Arts,2.46,3,Manager,93202.96,Yes,795,194,Self-funded,Finance Manager,78171.99,Domestic,Skill Enhancement,On-Campus,Yes,-15030.970000000001,0.136364
126,31,Male,Science,3.1,0,Consultant,42291.66,Yes,736,27,Self-funded,Finance Manager,156110.23,International,Entrepreneurship,On-Campus,No,113818.57,0.0
127,30,Female,Economics,3.12,1,Manager,75205.35,Yes,273,115,Self-funded,Finance Manager,67632.94,Domestic,Networking,Online,Yes,-7572.4100000000035,0.033333
128,31,Male,Business,3.6,2,Entrepreneur,76205.57,No,757,1,Scholarship,Finance Manager,79540.26,International,Entrepreneurship,On-Campus,No,3334.689999999988,0.064516
129,26,Male,Economics,2.53,2,Analyst,99469.32,No,552,92,Scholarship,Finance Manager,222959.14,Domestic,Networking,Online,Yes,123489.82,0.076923
130,23,Female,Science,3.8,7,Entrepreneur,141329.53,Yes,351,409,Scholarship,Executive,75918.76,Domestic,Career Growth,Online,Yes,-65410.770000000004,0.304348
131,22,Other,Science,3.78,2,Consultant,85119.67,Yes,343,394,Self-funded,Finance Manager,100293.46,International,Skill Enhancement,Online,Yes,15173.790000000008,0.090909
132,25,Male,Engineering,2.34,5,Entrepreneur,44731.38,No,546,223,Loan,Startup Founder,128095.67,Domestic,Networking,On-Campus,Yes,83364.29000000001,0.2
133,22,Female,Engineering,4.0,4,Consultant,36361.28,Yes,671,332,Employer,Startup Founder,194800.73,Domestic,Entrepreneurship,Online,Yes,158439.45,0.181818
134,22,Male,Business,3.3,0,Manager,78882.08,No,616,295,Scholarship,Executive,75168.24,Domestic,Skill Enhancement,Online,No,-3713.8399999999965,0.0
135,23,Female,Engineering,2.63,5,Engineer,65002.14,Yes,351,367,Employer,Finance Manager,100014.4,International,Skill Enhancement,Online,Yes,35012.259999999995,0.217391
136,29,Female,Arts,2.09,5,Entrepreneur,131570.51,No,667,242,Loan,Marketing Director,145690.1,International,Career Growth,On-Campus,No,14119.589999999997,0.172414
137,25,Female,Business,2.84,0,Entrepreneur,75572.28,No,274,44,Scholarship,Startup Founder,53432.51,Domestic,Career Growth,On-Campus,Yes,-22139.769999999997,0.0
138,31,Male,Arts,2.4,1,Engineer,39799.44,Yes,439,378,Self-funded,Finance Manager,58863.19,International,Entrepreneurship,Online,Yes,19063.75,0.032258
139,25,Female,Engineering,2.9,2,Entrepreneur,77782.11,Yes,526,309,Scholarship,Marketing Director,145796.03,International,Career Growth,Online,Yes,68013.92,0.08
140,34,Female,Business,2.85,3,Entrepreneur,77045.92,No,737,273,Self-funded,Marketing Director,74423.17,Domestic,Skill Enhancement,On-Campus,No,-2622.75,0.088235
141,33,Male,Science,3.12,7,Analyst,54678.3,No,485,384,Loan,Consultant,69411.11,Domestic,Career Growth,On-Campus,No,14732.809999999998,0.212121
142,29,Male,Economics,2.37,0,Analyst,48053.62,No,666,328,Scholarship,Marketing Director,119177.29,Domestic,Entrepreneurship,On-Campus,Yes,71123.66999999998,0.0
143,26,Male,Science,3.95,0,Engineer,81038.39,No,559,71,Employer,Marketing Director,71417.16,Domestic,Entrepreneurship,Online,No,-9621.229999999996,0.0
144,27,Male,Arts,2.6,10,Manager,44195.13,No,560,211,Employer,Startup Founder,83787.04,International,Skill Enhancement,On-Campus,Yes,39591.909999999996,0.37037
145,26,Female,Science,2.96,5,Entrepreneur,70025.85,Yes,528,92,Scholarship,Marketing Director,183777.16,International,Networking,Online,Yes,113751.31,0.192308
146,27,Male,Science,3.74,4,Entrepreneur,71156.64,Yes,600,200,Scholarship,Marketing Director,170054.55,International,Networking,On-Campus,Yes,98897.90999999999,0.148148
147,22,Male,Economics,3.43,2,Manager,80173.47,Yes,445,329,Scholarship,Startup Founder,101863.64,International,Career Growth,Online,No,21690.17,0.090909
148,22,Female,Economics,2.63,1,Entrepreneur,103157.13,Yes,528,324,Employer,Consultant,207378.16,International,Career Growth,Online,No,104221.03,0.045455
149,23,Male,Science,2.97,2,Manager,124110.6,No,534,223,Employer,Consultant,102972.54,Domestic,Networking,On-Campus,No,-21138.060000000012,0.086957
150,25,Female,Economics,2.55,11,Engineer,98039.76,Yes,501,302,Self-funded,Finance Manager,148949.0,International,Networking,Online,Yes,50909.240000000005,0.44
151,38,Male,Science,3.44,0,Engineer,59489.54,Yes,625,106,Employer,Finance Manager,86337.9,Domestic,Skill Enhancement,Online,No,26848.359999999993,0.0
152,25,Other,Business,2.53,5,Manager,80065.81,Yes,427,389,Loan,Marketing Director,68438.21,International,Career Growth,On-Campus,No,-11627.599999999991,0.2
153,22,Female,Science,3.3,2,Manager,39921.93,Yes,301,53,Employer,Marketing Director,108316.61,International,Entrepreneurship,Online,No,68394.68,0.090909
154,22,Female,Engineering,2.88,9,Consultant,58649.72,Yes,710,40,Scholarship,Finance Manager,60021.73,International,Skill Enhancement,Online,Yes,1372.010000000002,0.409091
155,36,Male,Economics,2.43,1,Analyst,140861.02,Yes,414,374,Employer,Finance Manager,76976.98,Domestic,Career Growth,Online,Yes,-63884.03999999999,0.027778
156,25,Female,Economics,2.58,7,Analyst,67191.35,No,309,160,Employer,Marketing Director,141715.45,International,Skill Enhancement,Online,Yes,74524.1,0.28
157,27,Male,Arts,2.31,5,Entrepreneur,61560.44,No,666,1,Employer,Startup Founder,117436.6,International,Skill Enhancement,On-Campus,Yes,55876.16,0.185185
158,33,Male,Arts,2.63,8,Entrepreneur,104873.14,No,497,232,Loan,Startup Founder,150530.88,International,Career Growth,Online,No,45657.740000000005,0.242424
159,22,Male,Engineering,3.27,0,Manager,64765.95,No,312,33,Loan,Startup Founder,55055.77,International,Skill Enhancement,Online,Yes,-9710.18,0.0
160,22,Female,Economics,3.21,4,Manager,67669.93,No,458,232,Loan,Finance Manager,110426.47,International,Networking,On-Campus,Yes,42756.54000000001,0.181818
161,22,Male,Economics,3.55,4,Analyst,69825.7,Yes,402,156,Loan,Consultant,188786.78,Domestic,Networking,On-Campus,Yes,118961.08,0.181818
162,25,Female,Arts,2.44,0,Entrepreneur,57117.75,No,295,336,Employer,Finance Manager,142638.5,Domestic,Career Growth,Online,No,85520.75,0.0
163,35,Male,Arts,3.87,6,Analyst,97703.29,No,800,305,Scholarship,Startup Founder,115851.93,International,Entrepreneurship,Online,Yes,18148.64,0.171429
164,23,Male,Science,2.63,0,Engineer,90483.26,Yes,513,27,Scholarship,Executive,55580.6,Domestic,Entrepreneurship,On-Campus,No,-34902.659999999996,0.0
165,22,Female,Economics,2.82,8,Analyst,78012.12,No,773,45,Scholarship,Startup Founder,137167.21,International,Career Growth,Online,No,59155.09,0.363636
166,27,Male,Economics,3.12,6,Analyst,137773.55,Yes,630,339,Scholarship,Executive,117705.38,International,Networking,On-Campus,Yes,-20068.169999999984,0.222222
167,28,Female,Science,3.55,2,Manager,42298.57,Yes,306,317,Employer,Startup Founder,97711.32,Domestic,Skill Enhancement,Online,Yes,55412.75000000001,0.071429
168,24,Male,Economics,2.67,8,Entrepreneur,66356.49,Yes,287,200,Loan,Startup Founder,152555.22,Domestic,Entrepreneurship,Online,Yes,86198.73,0.333333
169,29,Female,Engineering,3.49,0,Engineer,64260.52,No,638,446,Employer,Executive,65894.91,Domestic,Career Growth,On-Campus,No,1634.3900000000067,0.0
170,27,Female,Arts,3.74,4,Analyst,31547.45,No,418,456,Loan,Startup Founder,95216.17,Domestic,Networking,On-Campus,Yes,63668.72,0.148148
